station_coordinates,station_name,station_type,transport_type,station_exploitant
"[48.867905343962654, 2.313545549946741]",Champs-Élysées – Clemenceau,METRO,METRO 1,RATP
"[48.8091443609007, 2.43450989592394]",Maisons-Alfort-Stade,METRO,METRO 8,RATP
"[48.82218265762191, 2.3585513482022034]",Maison Blanche,METRO,METRO 7,RATP
"[48.882249532253695, 2.337164539445146]",Pigalle,METRO,METRO 12,RATP
"[48.85107136943748, 2.330700709954214]",Saint-Sulpice,METRO,METRO 4,RATP
"[48.88027195609515, 2.398468172268172]",Pré Saint-Gervais,METRO,METRO 7bis,RATP
"[48.855196323880406, 2.3258155665115288]",Rue du Bac,METRO,METRO 12,RATP
"[48.82708544796182, 2.27941168205042]",Corentin Celton,METRO,METRO 12,RATP
"[48.85806226082792, 2.3908609523236075]",Philippe Auguste,METRO,METRO 2,RATP
"[48.877100184864226, 2.3487755574768463]",Poissonnière,METRO,METRO 7,RATP
"[48.89715409503059, 2.2804138122108455]",Pont de Levallois,METRO,METRO 3,RATP
"[48.84648464963565, 2.3659101068529798]",Quai de la Rapée,METRO,METRO 5,RATP
"[48.8763302640252, 2.3331088937605435]",Trinité d'Estienne d'Orves,METRO,METRO 12,RATP
"[48.82741485861918, 2.3066359265017424]",Porte de Vanves,TRAMWAY,TRAM 3a,RATP
"[48.89767181855045, 2.3298303344938858]",Porte de Saint-Ouen,TRAMWAY,TRAM 3b,RATP
"[48.898392124743104, 2.3583754693257846]",Porte de la Chapelle,TRAMWAY,TRAM 3b,RATP
"[48.84243679699021, 2.3651848119933803]",Gare d'Austerlitz,METRO,METRO 10,RATP
"[48.845868977751635, 2.373774422563834]",Gare de Lyon,METRO,METRO 1,RATP
"[48.9009555366144, 2.5708415546006798]",Hôpital de Montfermeil,TRAMWAY,TRAM 4,SNCF
"[48.92271118741881, 2.406622752354693]",Danton,TRAMWAY,TRAM 1,RATP
"[48.82982637808205, 2.2956619828222937]",Georges Brassens,TRAMWAY,TRAM 3a,RATP
"[48.83435816451825, 2.2840072433034178]",Desnouettes,TRAMWAY,TRAM 3a,RATP
"[48.92650393687579, 2.5191194854240337]",Freinville-Sevran,TRAMWAY,TRAM 4,SNCF
"[48.933586402795655, 2.3710831716238587]",Hôpital Delafontaine,TRAMWAY,TRAM 1,RATP
"[48.9385944749182, 2.355845266780603]",Marché de Saint-Denis,TRAMWAY,TRAM 1,RATP
"[48.81917432819849, 2.2385983377921432]",Meudon-sur-Seine,TRAMWAY,TRAM 2,RATP
"[48.90966636441769, 2.4374878022135897]",La Ferme,TRAMWAY,TRAM 1,RATP
"[48.9026781018502, 2.5119399343333138]",Les Pavillons-sous-Bois,TRAMWAY,TRAM 4,SNCF
"[48.916096503158485, 2.5150614461921537]",Lycée Henri Sellier,TRAMWAY,TRAM 4,SNCF
