station_coordinates,station_name,station_slug,station_type,transport_type,transport_index
"[48.927250609666395, 2.2743361323893034]",Asnières Quatre Routes,Asnières Quatre Routes,TRAMWAY,TRAM 1,1
"[48.907868478658806, 2.5463803994280094]",Clichy-sous-Bois Mairie,Clichy-sous-Bois Mairie,TRAMWAY,TRAM 4,4
"[48.904573065543026, 2.5550142670142626]",Clichy - Montfermeil,Clichy - Montfermeil,TRAMWAY,TRAM 4,4
"[48.900919679716836, 2.5560690265844714]",Notre-Dame-des-Anges,Notre-Dame-des-Anges,TRAMWAY,TRAM 4,4
"[48.912704974361645, 2.435420992985438]",Escadrille Normandie-Niémen,Escadrille Normandie-Niémen,TRAMWAY,TRAM 1,1
"[48.90041730313167, 2.465460481358354]",Petit Noisy,Petit Noisy,TRAMWAY,TRAM 1,1
"[48.833314270546786, 2.2768549764108]",Suzanne Lenglen,Suzanne Lenglen,TRAMWAY,TRAM 2,2
"[48.780730968215366, 2.2398320176249897]",Pavé Blanc,Pavé Blanc,TRAMWAY,TRAM 6,6
"[48.78350097476932, 2.2309835589388722]",Georges Millandy,Georges Millandy,TRAMWAY,TRAM 6,6
"[48.90276802462004, 2.2395420349525783]",Les Fauvelles,Les Fauvelles,TRAMWAY,TRAM 2,2
"[48.756701025400794, 2.368367466323624]",La Belle Épine,La Belle Épine,TRAMWAY,TRAM 7,7
"[49.032279109980884, 2.699222253625638]",Dammartin-Juilly-Saint-Mard,Dammartin-Juilly-Saint-Mard,TRAIN,TRANSILIEN K,K
"[48.84519309572949, 2.5256159084395455]",Bry-sur-Marne,Bry-sur-Marne,RER,RER A,A
"[48.90581841066141, 2.283021086099524]",Asnières-sur-Seine,Asnières-sur-Seine,TRAIN,TRANSILIEN L,L
"[48.44806161422078, 1.480196791448219]",Chartres,Chartres,TRAIN,GL,GL
"[48.54266517075563, 1.590079046166316]",Saint-Piat,Saint-Piat,TRAIN,GL,GL
"[48.07340700916987, 1.338434763204049]",Châteaudun,Châteaudun,TRAIN,GL,GL
"[48.19836234136171, 3.267371200334765]",Sens,Sens,TRAIN,GL,GL
"[48.73117969276619, 1.3704666816488704]",Dreux,Dreux,TRAIN,TRANSILIEN N,N
"[48.84715690062344, 2.2780362819959077]",Javel,Javel,RER,RER C,C
"[48.97459610189591, 2.048673060384748]",Andrésy,Andrésy,TRAIN,TRANSILIEN J,J
"[48.89862464803908, 2.2491965080151246]",Courbevoie,Courbevoie,TRAIN,TRANSILIEN L,L
"[48.407282993152016, 2.7989224425509667]",Champagne-sur-Seine,Champagne-sur-Seine,TRAIN,TRANSILIEN R,R
"[48.75518504105718, 1.9430499444004297]",La Verrière,La Verrière,TRAIN,TRANSILIEN U,U
