station_coordinates,station_type_voie,station_dep,line_separation
"[48.897503015742444, 2.3447244920492682]",VDS,75,FR
"[48.89547300246389, 2.3464506808813668]",VDS,75,FR
"[48.85385774875463, 2.332972122780177]",VSU1,75,FR
"[48.85664172830499, 2.338509864639041]",VSU1,75,PR
"[48.89774338613337, 2.3591847708660683]",VDS,75,PR
"[48.869070495110684, 2.3674314801974226]",VSU1,75,FR
"[48.83756639958785, 2.297070199556808]",VSU1,75,FR
"[48.83845494248228, 2.29872592582806]",VSU1,75,FR
"[48.82277676749088, 2.3262100772926413]",VSU1,75,PR
"[48.8832509203275, 2.327559735370583]",VSU1,75,FR
"[48.823851552461754, 2.3261315813363224]",VDS,75,PR
"[48.82375484388604, 2.326529509198188]",VDS,75,PR
"[48.83745995696619, 2.3183890994967538]",VSU1,75,FR
"[48.83758200069509, 2.3217501095299715]",VSU1,75,FR
"[48.884887598466165, 2.357508120402164]",VSU1,75,FR
"[48.89769200163997, 2.3457851238197853]",VSU1,75,FR
"[48.88939690300694, 2.3960009233931014]",VSU1,75,PR
"[48.875818319529984, 2.328771803660632]",VDSC,75,FR
"[48.88578315190734, 2.2928770195588584]",VSU1,75,PR
"[48.869159201422384, 2.3916725645372594]",VSU2,75,FR
"[48.869763328803536, 2.393819574527843]",VSU2,75,FR
"[48.8217142010858, 2.3249714100525694]",VSU1,75,FR
"[48.855228548513395, 2.3069370113306737]",VSU1,75,FR
"[48.870686400893064, 2.332039310166066]",VSU1,75,FR
"[48.875278686068555, 2.315302204351724]",VDS,75,FR
"[48.868001193419815, 2.299080247606873]",VDSC,75,FR
"[48.86954235344681, 2.311196401971518]",VSU1,75,PR
"[48.837066148592946, 2.3072317276722987]",VSU1,75,FR
"[48.821462550992194, 2.325463010059905]",VSU1,75,PR
"[48.893045347611306, 2.3275665606554927]",VSU1,75,FR
"[48.886714432406805, 2.3476002582044764]",VSU2,75,FR
"[48.83473841890512, 2.254939782291095]",VSU1,92,FR
"[48.85515668650498, 2.3606306260300567]",VSU1,75,PR
"[48.851486914460295, 2.356231340186565]",VSU1,75,FR
"[48.86369765031674, 2.4040483020098957]",VSU2,75,FR
"[48.830721266120854, 2.377137944499125]",VSU1,75,FR
"[48.87053892195256, 2.3393565239723833]",VSU1,75,FR
"[48.871984150934225, 2.3401383594477627]",VSU1,75,FR
"[48.85837775056909, 2.3473218094040362]",VSU1,75,FR
"[48.850643109888146, 2.36067058673588]",VSU2,75,FR
"[48.855146984233556, 2.284370705977045]",VDSC,75,FR
"[48.857646053334584, 2.35108221496716]",VSU1,75,FR
"[48.833090837927294, 2.2889634528046994]",VSU1,75,FR
"[48.859586121268194, 2.3450084729990652]",VSU1,75,PR
"[48.84382288217575, 2.3643330793305384]",VSU1,75,PR
"[48.85708554858689, 2.347669728446838]",VSU1,75,FR
"[48.84611081518898, 2.3141806735768804]",VSU2,75,FR
"[48.84374935118794, 2.3648533143290527]",VDS,75,PR
"[48.88598480194344, 2.292592819852814]",VSU1,75,PR
"[48.88626454918767, 2.2927193461497706]",VSU1,75,FR
"[48.86388298522146, 2.3703937585821016]",VSU1,75,FR
"[48.861428496505255, 2.2924062536424046]",VDS,75,FR
"[48.885108838816315, 2.296166859100214]",VSU1,75,FR
"[48.870517586819645, 2.3487299984207977]",VSU1,75,FR
"[48.83822349914513, 2.350826011964505]",VDS,75,FR
"[48.88729140186919, 2.2943539182818102]",VSU1,75,FR
"[48.873701051149, 2.3275294097545043]",VSU1,75,FR
"[48.837660206387376, 2.3512510405784353]",VDS,75,FR
"[48.86707880958269, 2.290236247434906]",VSU1,75,PR
"[48.8765231461619, 2.323438906131751]",VDS,75,FR
"[48.87069397013581, 2.2928697392631587]",VSU1,75,PR
"[48.87774990107346, 2.2982328146427444]",VSU1,75,FR
"[48.8328534971583, 2.311213917463132]",VSU1,75,FR
"[48.88596855074445, 2.289318609965931]",VSU1,75,FR
"[48.89891099969884, 2.370324858637821]",VSU1,75,FR
"[48.82083561751879, 2.325518791276066]",VSU1,75,PR
